CUSTOM.updateTime,CUSTOM.isPhoto,CUSTOM.isVideo,CUSTOM.hSpeed [m/s],CUSTOM.distance [m],CUSTOM.travelled [m],CUSTOM.hSpeed.running_max [m/s],CALC.hSpeed [m/s],CALC.distance [m],CALC.travelled [m],CALC.distance.running_max [m],CALC.height.running_max [m],OSD.latitude,OSD.longitude,OSD.height [m],OSD.altitude [m],OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.flycState,OSD.flycState.RAW,OSD.flycCommand,OSD.flycCommand.RAW,OSD.canIOCWork,OSD.groundOrSky,OSD.isMotorUp,OSD.isSwaveWork,OSD.goHomeStatus,OSD.goHomeStatus.RAW,OSD.isImuPreheated,OSD.isVisionUsed,OSD.voltageWarning,OSD.modeChannel,OSD.isGPSused,OSD.compassError,OSD.waveError,OSD.gpsLevel,OSD.batteryType,OSD.isAcceletorOverRange,OSD.isVibrating,OSD.isBarometerDeadInAir,OSD.isMotorBlocked,OSD.isNotEnoughForce,OSD.isPropellerCatapult,OSD.isGoHomeHeightModified,OSD.isOutOfLimit,OSD.gpsNum,OSD.flightAction,OSD.flightAction.RAW,OSD.motorStartFailedCause,OSD.motorStartFailedCause.RAW,OSD.nonGPSCause,OSD.nonGPSCause.RAW,OSD.isQuickSpin,OSD.battery,OSD.sWaveHeight [m],OSD.flyTime [s],OSD.motorRevolution,OSD.flycVersion,OSD.droneType,OSD.imuInitFailReason,OSD.imuInitFailReason.RAW,OSD.motorFailReason,OSD.motorFailReason.RAW,OSD.ctrlDevice,OSD.ctrlDevice.RAW,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.mode,GIMBAL.mode.RAW,GIMBAL.rollAdjust,GIMBAL.pitchAdjust,GIMBAL.yawAngle,GIMBAL.isAutoCalibration,GIMBAL.autoCalibrationResult,GIMBAL.isPitchInLimit,GIMBAL.isRollInLimit,GIMBAL.isYawInLimit,GIMBAL.isTopPosition,GIMBAL.isStuck,GIMBAL.version,GIMBAL.isSingleClick,GIMBAL.isDoubleClick,GIMBAL.isTripleClick,GIMBAL.timeStamp,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.gimbal,RC.goHome,RC.mode,RC.isWheelChanged,RC.wheelOffset,RC.wheelClick,RC.record,RC.shutter,RC.playback,RC.custom1,RC.custom2,RC.bandwidth,CENTER_BATTERY.relativeCapacity,CENTER_BATTERY.currentPV [V],CENTER_BATTERY.currentCapacity [mAh],CENTER_BATTERY.fullCapacity [mAh],CENTER_BATTERY.life,CENTER_BATTERY.loopNum,CENTER_BATTERY.errorType,CENTER_BATTERY.current [A],CENTER_BATTERY.voltageCell1 [V],CENTER_BATTERY.voltageCell2 [V],CENTER_BATTERY.voltageCell3 [V],CENTER_BATTERY.voltageCell4 [V],CENTER_BATTERY.voltageCell5 [V],CENTER_BATTERY.voltageCell6 [V],CENTER_BATTERY.serialNo,CENTER_BATTERY.productDate,CENTER_BATTERY.temperature [C],CENTER_BATTERY.connStatus,CENTER_BATTERY.totalStudyCycle,CENTER_BATTERY.lastStudyCycle,CENTER_BATTERY.isNeedStudy,CENTER_BATTERY.isBatteryOnCharge,SMART_BATTERY.usefulTime [s],SMART_BATTERY.goHomeTime [s],SMART_BATTERY.landTime [s],SMART_BATTERY.goHomeBattery,SMART_BATTERY.landBattery,SMART_BATTERY.safeFlyRadius,SMART_BATTERY.volumeConsume,SMART_BATTERY.status,SMART_BATTERY.status.RAW,SMART_BATTERY.goHomeStatus,SMART_BATTERY.goHomeStatus.RAW,SMART_BATTERY.goHomeCountdown,SMART_BATTERY.voltage [V],SMART_BATTERY.battery,SMART_BATTERY.lowWarning,SMART_BATTERY.lowWarningGoHome,SMART_BATTERY.seriousLowWarning,SMART_BATTERY.seriousLowWarningLanding,SMART_BATTERY.voltagePercent,DEFORM.isDeformProtected,DEFORM.isExceptionState,DEFORM.deformStatus,DEFORM.deformStatus.RAW,DEFORM.deformMode,DEFORM.deformMode.RAW,RC_GPS.startupTime,RC_GPS.latitude,RC_GPS.longitude,RC_GPS.xSpeed [m/s],RC_GPS.ySpeed [m/s],RC_GPS.gpsNum,RC_GPS.accuracy,RC_GPS.gpsStatus,CAMERA_INFO.connectState,CAMERA_INFO.usbState,CAMERA_INFO.timeSyncState,CAMERA_INFO.photoState,CAMERA_INFO.recordState,CAMERA_INFO.sensorState,CAMERA_INFO.sdCardInsertState,CAMERA_INFO.sdCardState,CAMERA_INFO.firmUpgradeState,CAMERA_INFO.firmErrorType,CAMERA_INFO.hotState,CAMERA_INFO.enabledPhoto,CAMERA_INFO.isStoring,CAMERA_INFO.isTimePhotoing,CAMERA_INFO.encryptStatus,CAMERA_INFO.mode,CAMERA_INFO.sdCardTotalSize,CAMERA_INFO.sdCardFreeSize,CAMERA_INFO.remainedShots,CAMERA_INFO.remainedTime,CAMERA_INFO.videoRecordTime,CAMERA_INFO.cameraType,CAMERA_INFO.version,MC_PARAM.failSafeAction,MC_PARAM.OAenabled,MC_PARAM.VPSenabled,MC_PARAM.rthOAenabled,HOME.latitude,HOME.longitude,HOME.height [m],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isMultipleModeOpen,HOME.goHomeStatus,HOME.hasGoHome,HOME.compassCeleStatus,HOME.isCompassCeleing,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [m],HOME.courseLockAngle,HOME.dataRecorderStatus,HOME.dataRecorderRemainCapacity,HOME.dataRecorderRemainTime,HOME.dataRecorderFileIndex,HOME.isFlycInSimulationMode,HOME.isFlycInNavigationMode,HOME.isWingBroken,HOME.isBigGale,HOME.isBigGaleWarning,HOME.isCompassInstallErr,HOME.isFanCurrentInAbnormalState,HOME.paddleState,HOME.heightLimitStatus,HOME.useAbsoluteHeight,HOME.motor1EscmState,HOME.motor2EscmState,HOME.motor3EscmState,HOME.motor4EscmState,HOME.motor5EscmState,HOME.motor6EscmState,HOME.motor7EscmState,HOME.motor8EscmState,HOME.forceLandingHeight [m],RECOVER.droneType,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftSnBytes,RECOVER.aircraftName,RECOVER.activeTimestamp,RECOVER.cameraSn,RECOVER.rcSn,RECOVER.batterySn,RECOVER.gimbalType,FIRMWARE.version,DETAILS.street,DETAILS.citypart,DETAILS.city,DETAILS.area,DETAILS.isFavorite,DETAILS.isNew,DETAILS.needUpload,DETAILS.recordLineCount,DETAILS.timestamp,DETAILS.latitude,DETAILS.longitude,DETAILS.totalDistance [m],DETAILS.totalTime [s],DETAILS.maxHeight [m],DETAILS.maxHorizontalSpeed [m/s],DETAILS.maxVerticalSpeed [m/s],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.takeOffAltitude [m],DETAILS.droneType,DETAILS.activeTimestamp,DETAILS.aircraftName,DETAILS.aircraftSnBytes,DETAILS.cameraSn,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,General.downlinkSigStrength,OSD.tiltInclination,OSD.tiltDirection
55:02.5,,,0,0.19,,0,0.18,3.5,0.19,3.52,0,59.485149,18.276159,0,25048,0,0,0,2.9,0,66.4,EngineStart,41,AutoFly,1,FALSE,Ground,TRUE,FALSE,Other,7,TRUE,FALSE,0,P,TRUE,FALSE,FALSE,4,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,AppAutoTakeoff,14,None,0,Already,0,FALSE,0,0.1,1.1,1,31,41,MonitorError,0,,0,RC,0,-4,0,66,YawFollow,2,0,0,-0.9,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,97925,,,,,,,,,,,,,,,,,,,,,100,1,,,4.028,4.028,4.025,4.023,,,501,13/12/2019,,,,,,,0,6,0,0,10,5169.86,1325.605,None,0,NonGoHome,0,0,16.006,71,25,FALSE,10,TRUE,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Full,0,No,0,0,0,0,CheckSuccess,Record,8064,0,0,0,0,Other,1,GoHome,FALSE,FALSE,FALSE,59.485157,18.276099,84.42,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,CourseLock,30,115.9,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal,NonLimit,FALSE,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,,,,,,,,,,,,,,,,52,162,0,9464641,,,,1.34E+03,1332084.012,0,0,0,255,37674,25047.48,190,,×2RetÅ°þ3¸´štÉ§t,‘µštÈ¾þ‡ÿ*ó©,LíjâÓ©L,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,100,2.9,-113.6
55:02.6,,,0,0.22,,0,0.38,3.47,0.22,3.52,0,59.485149,18.276158,0,25048,0,0,0,2.8,0,66.4,AutoTakeoff,11,AutoFly,1,FALSE,Ground,TRUE,FALSE,Other,7,TRUE,FALSE,0,P,TRUE,FALSE,FALSE,4,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,AppAutoTakeoff,14,None,0,Already,0,FALSE,0,0.1,1.2,1,31,41,MonitorError,0,,0,RC,0,-4,0,66,YawFollow,2,0,0,-0.7,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,98026,,,,,,,,,,,,,,,,,,,,,100,1,,,4.028,4.028,4.025,4.023,,,501,13/12/2019,,,,,,,0,6,0,0,10,5169.86,1325.605,None,0,NonGoHome,0,0,16.006,71,25,FALSE,10,TRUE,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Full,0,No,0,0,0,0,CheckSuccess,Record,8064,0,0,0,0,Other,1,GoHome,FALSE,FALSE,FALSE,59.485157,18.276099,84.42,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,CourseLock,30,115.9,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal,NonLimit,FALSE,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,,,,,,,,,,,,,,,,52,162,0,9464641,,,,1.34E+03,1332084.012,0,0,0,255,37674,25047.48,190,,×2RetÅ°þ3¸´štÉ§t,‘µštÈ¾þ‡ÿ*ó©,LíjâÓ©L,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,100,2.8,-113.6
55:02.7,,,0,0.24,,0,0.19,3.45,0.24,3.52,0,59.485149,18.276158,0,25048,0,0,0,2.8,0,66.3,AutoTakeoff,11,AutoFly,1,FALSE,Ground,TRUE,FALSE,Other,7,TRUE,FALSE,0,P,TRUE,FALSE,FALSE,4,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,AppAutoTakeoff,14,None,0,Already,0,FALSE,0,0.1,1.3,1,31,41,MonitorError,0,,0,RC,0,-4,0,66,YawFollow,2,0,0,-0.8,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,98126,,,,,,,,,,,,,,,,,,,,,100,1,,,4.028,4.028,4.025,4.023,,,501,13/12/2019,,,,,,,0,6,0,0,10,5169.86,1325.605,None,0,NonGoHome,0,0,16.006,71,25,FALSE,10,TRUE,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Full,0,No,0,0,0,0,CheckSuccess,Record,8064,0,0,0,0,Other,1,GoHome,FALSE,FALSE,FALSE,59.485157,18.276099,84.42,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,CourseLock,30,115.9,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal,NonLimit,FALSE,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,,,,,,,,,,,,,,,,52,162,0,9464641,,,,1.34E+03,1332084.012,0,0,0,255,37674,25047.48,190,,×2RetÅ°þ3¸´štÉ§t,‘µštÈ¾þ‡ÿ*ó©,LíjâÓ©L,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,100,2.8,-113.7
55:02.8,,,0,0.27,,0,0.28,3.42,0.27,3.52,0,59.485149,18.276157,0,25048,0,0,0,2.8,0,66.3,AutoTakeoff,11,AutoFly,1,FALSE,Ground,TRUE,FALSE,Other,7,TRUE,FALSE,0,P,TRUE,FALSE,FALSE,4,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,AppAutoTakeoff,14,None,0,Already,0,FALSE,0,0.1,1.4,1,31,41,MonitorError,0,,0,RC,0,-4,0,66,YawFollow,2,0,0,-0.7,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,98226,,,,,,,,,,,,,,,,,,,,,100,1,,,4.028,4.028,4.025,4.023,,,501,13/12/2019,,,,,,,0,6,0,0,10,5169.86,1325.605,None,0,NonGoHome,0,0,16.006,71,25,FALSE,10,TRUE,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Full,0,No,0,0,0,0,CheckSuccess,Record,8064,0,0,0,0,Other,1,GoHome,FALSE,FALSE,FALSE,59.485157,18.276099,84.42,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,CourseLock,30,115.9,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal,NonLimit,FALSE,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,,,,,,,,,,,,,,,,52,162,0,9464641,,,,1.34E+03,1332084.012,0,0,0,255,37674,25047.48,190,,×2RetÅ°þ3¸´štÉ§t,‘µštÈ¾þ‡ÿ*ó©,LíjâÓ©L,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,100,2.8,-113.7
55:02.9,,,0,0.29,,0,0.2,3.4,0.29,3.52,0,59.485149,18.276157,0,25048,0,0,0,2.8,0,66.3,AutoTakeoff,11,AutoFly,1,FALSE,Ground,TRUE,FALSE,Other,7,TRUE,FALSE,0,P,TRUE,FALSE,FALSE,4,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,AppAutoTakeoff,14,None,0,Already,0,FALSE,0,0.1,1.5,1,31,41,MonitorError,0,,0,RC,0,-4,0,66,YawFollow,2,0,0,-0.8,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,98426,,,,,,,,,,,,,,,,,,,,,100,1,,,4.028,4.028,4.025,4.023,,,501,13/12/2019,,,,,,,0,6,0,0,10,5169.86,1325.605,None,0,NonGoHome,0,0,16.006,71,25,FALSE,10,TRUE,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Full,0,No,0,0,0,0,CheckSuccess,Record,8064,0,0,0,0,Other,1,GoHome,FALSE,FALSE,FALSE,59.485157,18.276099,84.42,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,CourseLock,30,115.9,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal,NonLimit,FALSE,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,,,,,,,,,,,,,,,,52,162,0,9464641,,,,1.34E+03,1332084.012,0,0,0,255,37674,25047.48,190,,×2RetÅ°þ3¸´štÉ§t,‘µštÈ¾þ‡ÿ*ó©,LíjâÓ©L,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,100,2.8,-113.7
55:03.0,,,0,0.32,,0,0.29,3.38,0.32,3.52,0,59.485149,18.276157,0,25048,0,0,0,2.7,0,66.2,AutoTakeoff,11,AutoFly,1,FALSE,Ground,TRUE,FALSE,Other,7,TRUE,FALSE,0,P,TRUE,FALSE,FALSE,4,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,AppAutoTakeoff,14,None,0,Already,0,FALSE,0,0.1,1.6,1,31,41,MonitorError,0,,0,RC,0,-4,0,66,YawFollow,2,0,0,-0.8,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,98426,,,,,,,,,,,,,,,,,,,,,100,1,,,3.966,3.966,3.96,3.953,,,501,13/12/2019,,,,,,,0,6,0,0,10,5169.86,1325.605,None,0,NonGoHome,0,0,16.006,71,25,FALSE,10,TRUE,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Full,0,No,0,0,0,0,CheckSuccess,Record,8064,0,0,0,0,Other,1,GoHome,FALSE,FALSE,FALSE,59.485157,18.276099,84.42,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,CourseLock,30,115.9,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal,NonLimit,FALSE,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,,,,,,,,,,,,,,,,52,162,0,9464641,,,,1.34E+03,1332084.012,0,0,0,255,37674,25047.48,190,,×2RetÅ°þ3¸´štÉ§t,‘µštÈ¾þ‡ÿ*ó©,LíjâÓ©L,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,100,2.7,-113.8
55:03.1,,,0,0.34,,0,0.2,3.36,0.34,3.52,0,59.485149,18.276156,0,25048,0,0,0,2.6,0,66.2,AutoTakeoff,11,AutoFly,1,FALSE,Ground,TRUE,FALSE,Other,7,TRUE,FALSE,0,P,TRUE,FALSE,FALSE,4,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,AppAutoTakeoff,14,None,0,Already,0,FALSE,0,0.1,1.7,1,31,41,MonitorError,0,,0,RC,0,-4,0,66,YawFollow,2,0,0,-0.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,98526,,,,,,,,,,,,,,,,,,,,,100,1,,,3.966,3.966,3.96,3.953,,,501,13/12/2019,,,,,,,0,6,0,0,10,5169.86,1325.605,None,0,NonGoHome,0,0,16.006,71,25,FALSE,10,TRUE,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Full,0,No,0,0,0,0,CheckSuccess,Record,8064,0,0,0,0,Other,1,GoHome,FALSE,FALSE,FALSE,59.485157,18.276099,84.42,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,CourseLock,30,115.9,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal,NonLimit,FALSE,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,,,,,,,,,,,,,,,,52,162,0,9464641,,,,1.34E+03,1332084.012,0,0,0,255,37674,25047.48,190,,×2RetÅ°þ3¸´štÉ§t,‘µštÈ¾þ‡ÿ*ó©,LíjâÓ©L,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,100,2.6,-113.8
55:03.2,,,0,0.38,,0,0.35,3.33,0.38,3.52,0,59.485149,18.276156,0,25048,0,0,0,2.6,0,66.1,AutoTakeoff,11,AutoFly,1,FALSE,Ground,TRUE,FALSE,Other,7,TRUE,FALSE,0,P,TRUE,FALSE,FALSE,4,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,AppAutoTakeoff,14,None,0,Already,0,FALSE,0,0.1,1.8,1,31,41,MonitorError,0,,0,RC,0,-4,0,66,YawFollow,2,0,0,-0.6,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,98626,,,,,,,,,,,,,,,,,,,,,100,1,,,3.966,3.966,3.96,3.953,,,501,13/12/2019,,,,,,,0,6,0,0,10,5169.86,1325.605,None,0,NonGoHome,0,0,16.006,71,25,FALSE,10,TRUE,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Full,0,No,0,0,0,0,CheckSuccess,Record,8064,0,0,0,0,Other,1,GoHome,FALSE,FALSE,FALSE,59.485157,18.276099,84.42,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,CourseLock,30,115.9,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal,NonLimit,FALSE,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,,,,,,,,,,,,,,,,52,162,0,9464641,,,,1.34E+03,1332084.012,0,0,0,255,37674,25047.48,190,,×2RetÅ°þ3¸´štÉ§t,‘µštÈ¾þ‡ÿ*ó©,LíjâÓ©L,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,100,2.6,-113.9
55:03.3,,,0,0.4,,0,0.21,3.31,0.4,3.52,0,59.485149,18.276155,0,25048,0,0,0,1.8,0,65.9,AutoTakeoff,11,AutoFly,1,FALSE,Ground,TRUE,FALSE,Other,7,TRUE,FALSE,0,P,TRUE,FALSE,FALSE,4,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,AppAutoTakeoff,14,None,0,Already,0,FALSE,0,0.1,1.9,1,31,41,MonitorError,0,,0,RC,0,-4,0,66,YawFollow,2,0,0,-0.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,98725,,,,,,,,,,,,,,,,,,,,,100,1,,,3.966,3.966,3.96,3.953,,,501,13/12/2019,,,,,,,0,5,0,0,10,5676.71,1455.566,None,0,NonGoHome,0,0,15.878,71,25,FALSE,10,TRUE,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Full,0,No,0,0,0,0,CheckSuccess,Record,8064,0,0,0,0,Other,1,GoHome,FALSE,FALSE,FALSE,59.485157,18.276099,84.42,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,CourseLock,30,115.9,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal,NonLimit,FALSE,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,,,,,,,,,,,,,,,,52,162,0,9464641,,,,1.34E+03,1332084.012,0,0,0,255,37674,25047.48,190,,×2RetÅ°þ3¸´štÉ§t,‘µštÈ¾þ‡ÿ*ó©,LíjâÓ©L,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,100,1.8,-114.1
55:03.4,,,0,0.42,,0,0.17,3.29,0.42,3.52,0,59.485149,18.276155,0,25048,0,0,0,-1.1,0,65.9,AutoTakeoff,11,AutoFly,1,FALSE,Ground,TRUE,FALSE,Other,7,TRUE,FALSE,0,P,TRUE,FALSE,FALSE,4,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,AppAutoTakeoff,14,None,0,Already,0,FALSE,0,0.1,2,1,31,41,MonitorError,0,,0,RC,0,-4,0,66,YawFollow,2,0,0,-0.1,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,98825,,,,,,,,,,,,,,,,,,,,,100,1,,,3.966,3.966,3.96,3.953,,,501,13/12/2019,,,,,,,0,5,0,0,10,5676.71,1455.566,None,0,NonGoHome,0,0,15.878,71,25,FALSE,10,TRUE,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,Full,0,No,0,0,0,0,CheckSuccess,Record,8064,0,0,0,0,Other,1,GoHome,FALSE,FALSE,FALSE,59.485157,18.276099,84.42,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,CourseLock,30,115.9,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal,NonLimit,FALSE,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,,,,,,,,,,,,,,,,52,162,0,9464641,,,,1.34E+03,1332084.012,0,0,0,255,37674,25047.48,190,,×2RetÅ°þ3¸´štÉ§t,‘µštÈ¾þ‡ÿ*ó©,LíjâÓ©L,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn,APP_MESS.message,100,1.1,65.9
